requirement_id,canonical_key,release,applicability,module_id,module_name,requirement_level,category,subsystem,requirement,expected_behavior,forbidden_behavior,input,output,state_or_status,source_documents,source_versions,source_sections,source_extract_ids,acceptance_test_ids,priority,criticality,implementation_layer,dependency,release_gate,open_gate_ids,developer_task_ids,notes
M05-CAN-0001,m05.current_1_0.security_control.bfd08f504201293e,1.0,CURRENT_1_0,M05,Профиль клиента,SECURITY_CONTROL,SECURITY,§1 Scope и границы,"Наследование
Tenant/case ACL, согласия, шифрование, audit, immutable snapshots, UNKNOWN ≠ 0, provenance/evidence и review-подход наследуются из уже закрытых блоков №1–3. Здесь описана только анкета и сбор недостающих клиентских фактов.: Наследование
Tenant/case ACL, согласия, шифрование, audit, immutable snapshots, UNKNOWN ≠ 0, provenance/evidence и review-подход наследуются из уже закрытых блоков №1–3. Здесь описана только анкета и сбор недостающих клиентских фактов.","Наследование
Tenant/case ACL, согласия, шифрование, audit, immutable snapshots, UNKNOWN ≠ 0, provenance/evidence и review-подход наследуются из уже закрытых блоков №1–3. Здесь описана только анкета и сбор недостающих клиентских фактов.: Наследование
Tenant/case ACL, согласия, шифрование, audit, immutable snapshots, UNKNOWN ≠ 0, provenance/evidence и review-подход наследуются из уже закрытых блоков №1–3. Здесь описана только анкета и сбор недостающих клиентских фактов.",,,,UNKNOWN,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,2026-08-21,§1 Scope и границы,SRC-DOC-M05-P-00009,,,,DATA|SECURITY|LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M05-CAN-0002,m05.current_1_0.product_semantic.f06c758e8734734c,1.0,CURRENT_1_0,M05,Профиль клиента,PRODUCT_SEMANTIC,BUSINESS_RULE,§1.1 Что блок делает,"Создаёт и ведёт участников ипотечного дела: основной заёмщик, супруг, созаёмщик и иной участник только при реальной необходимости.","Создаёт и ведёт участников ипотечного дела: основной заёмщик, супруг, созаёмщик и иной участник только при реальной необходимости.",,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,2026-08-21,§1.1 Что блок делает,SRC-DOC-M05-P-00011,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M05-CAN-0003,m05.current_1_0.product_semantic.94e82b1ee233f5c5,1.0,CURRENT_1_0,M05,Профиль клиента,PRODUCT_SEMANTIC,BUSINESS_RULE,§1.1 Что блок делает,Хранит историю занятости отдельно от источников дохода; один участник может иметь несколько работ и несколько доходов одновременно.,Хранит историю занятости отдельно от источников дохода; один участник может иметь несколько работ и несколько доходов одновременно.,,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,2026-08-21,§1.1 Что блок делает,SRC-DOC-M05-P-00013,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M05-CAN-0004,m05.current_1_0.product_semantic.46154873d13231b7,1.0,CURRENT_1_0,M05,Профиль клиента,PRODUCT_SEMANTIC,BUSINESS_RULE,§1.1 Что блок делает,"Хранит активы и источники первоначального взноса отдельно, чтобы CASA могла доказать происхождение и доступность средств.","Хранит активы и источники первоначального взноса отдельно, чтобы CASA могла доказать происхождение и доступность средств.",,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,2026-08-21,§1.1 Что блок делает,SRC-DOC-M05-P-00014,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M05-CAN-0005,m05.current_1_0.data_contract.d84effc64a33ba63,1.0,CURRENT_1_0,M05,Профиль клиента,DATA_CONTRACT,SNAPSHOT,§1.1 Что блок делает,"Формирует полноту анкеты, конфликты, missing evidence и готовый neutral snapshot для следующего Bank Rules Engine.","Формирует полноту анкеты, конфликты, missing evidence и готовый neutral snapshot для следующего Bank Rules Engine.",,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,2026-08-21,§1.1 Что блок делает,SRC-DOC-M05-P-00016,,,,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M05-CAN-0006,m05.current_1_0.product_semantic.c2dbf742ad28f26f,1.0,CURRENT_1_0,M05,Профиль клиента,PRODUCT_SEMANTIC,CALCULATION,§1.2 Что блок НЕ делает,не рассчитывает банковский КДН и не дублирует расчёты Credit History Engine;,не рассчитывает банковский КДН и не дублирует расчёты Credit History Engine;,,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,2026-08-21,§1.2 Что блок НЕ делает,SRC-DOC-M05-P-00020,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M05-CAN-0007,m05.current_1_0.data_contract.5312d99343b156e5,1.0,CURRENT_1_0,M05,Профиль клиента,DATA_CONTRACT,SNAPSHOT,§1.2 Что блок НЕ делает,не читает повторно PDF кредитной истории или ЕНПФ — использует published snapshots;,не читает повторно PDF кредитной истории или ЕНПФ — использует published snapshots;,,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,2026-08-21,§1.2 Что блок НЕ делает,SRC-DOC-M05-P-00021,,,,DATA|PARSER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M05-CAN-0008,m05.current_1_0.product_semantic.d210ce5f701e9348,1.0,CURRENT_1_0,M05,Профиль клиента,PRODUCT_SEMANTIC,BUSINESS_RULE,§1.2 Что блок НЕ делает,"Три уровня остаются раздельными
SOURCE/VERIFIED FACT → MANUAL/DECLARED FACT → BANK_RULE. В Client Profile Engine разрешены первые два уровня и нейтральные CASA_DERIVED поля полноты/агрегации. Принимаемый доход, допустимость взноса и eligibility конкретного банка появятся только в Bank Rules Engine.: Три уровня остаются раздельными
SOURCE/VERIFIED FACT → MANUAL/DECLARED FACT → BANK_RULE. В Client Profile Engine разрешены первые два уровня и нейтральные CASA_DERIVED поля полноты/агрегации. Принимаемый доход, допустимость взноса и eligibility конкретного банка появятся только в Bank Rules Engine.","Три уровня остаются раздельными
SOURCE/VERIFIED FACT → MANUAL/DECLARED FACT → BANK_RULE. В Client Profile Engine разрешены первые два уровня и нейтральные CASA_DERIVED поля полноты/агрегации. Принимаемый доход, допустимость взноса и eligibility конкретного банка появятся только в Bank Rules Engine.: Три уровня остаются раздельными
SOURCE/VERIFIED FACT → MANUAL/DECLARED FACT → BANK_RULE. В Client Profile Engine разрешены первые два уровня и нейтральные CASA_DERIVED поля полноты/агрегации. Принимаемый доход, допустимость взноса и eligibility конкретного банка появятся только в Bank Rules Engine.",,,,VERIFIED|DECLARED,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,2026-08-21,§1.2 Что блок НЕ делает,SRC-DOC-M05-P-00024,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M05-CAN-0009,m05.current_1_0.data_contract.bbf062d5d0edf6c7,1.0,CURRENT_1_0,M05,Профиль клиента,DATA_CONTRACT,DATA_MODEL,§10 Прочие обязательства и специальные факты,"Новая сущность, которой не хватает текущему ТЗ
Credit History Engine покрывает кредитные обязательства. Для банковских правил могут понадобиться регулярные обязательства, которых в ПКО нет. Не надо запихивать их в loan_obligation. Добавить neutral entity non_credit_commitment.: Новая сущность, которой не хватает текущему ТЗ
Credit History Engine покрывает кредитные обязательства. Для банковских правил могут понадобиться регулярные обязательства, которых в ПКО нет. Не надо запихивать их в loan_obligation. Добавить neutral entity non_credit_commitment.","Новая сущность, которой не хватает текущему ТЗ
Credit History Engine покрывает кредитные обязательства. Для банковских правил могут понадобиться регулярные обязательства, которых в ПКО нет. Не надо запихивать их в loan_obligation. Добавить neutral entity non_credit_commitment.: Новая сущность, которой не хватает текущему ТЗ
Credit History Engine покрывает кредитные обязательства. Для банковских правил могут понадобиться регулярные обязательства, которых в ПКО нет. Не надо запихивать их в loan_obligation. Добавить neutral entity non_credit_commitment.",,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,2026-08-21,§10 Прочие обязательства и специальные факты,SRC-DOC-M05-P-00133,,,,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M05-CAN-0010,m05.current_1_0.product_semantic.aa8dbeeda0e565bd,1.0,CURRENT_1_0,M05,Профиль клиента,PRODUCT_SEMANTIC,STATE,§10 Прочие обязательства и специальные факты,"non_credit_commitment.type: ALIMONY_PAYMENT; Пример: алименты, которые клиент платит; Правило: amount/periodicity/evidence/status; учитывается банком только по BANK_RULE","non_credit_commitment.type: ALIMONY_PAYMENT; Пример: алименты, которые клиент платит; Правило: amount/periodicity/evidence/status; учитывается банком только по BANK_RULE",,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,2026-08-21,§10 Прочие обязательства и специальные факты,SRC-DOC-M05-P-00135,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
