requirement_id,canonical_key,release,applicability,module_id,module_name,requirement_level,category,subsystem,requirement,expected_behavior,forbidden_behavior,input,output,state_or_status,source_documents,source_versions,source_sections,source_extract_ids,acceptance_test_ids,priority,criticality,implementation_layer,dependency,release_gate,open_gate_ids,developer_task_ids,notes
M03-CAN-0001,m03.current_1_0.product_semantic.c55388e8fe6c0229,1.0,CURRENT_1_0,M03,Кредитная история,PRODUCT_SEMANTIC,BUSINESS_RULE,A. Происхождение и идентификаторы,"Группа: Договор; Поля: contract_code, agreement_number, application_date, contract_start_date, contract_end_date, actual_issue_date, actual_close_date","Группа: Договор; Поля: contract_code, agreement_number, application_date, contract_start_date, contract_end_date, actual_issue_date, actual_close_date",,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,A. Происхождение и идентификаторы,SRC-DOC-M03-P-00230,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M03-CAN-0002,m03.current_1_0.product_semantic.29ef28fa86f22c90,1.0,CURRENT_1_0,M03,Кредитная история,PRODUCT_SEMANTIC,BUSINESS_RULE,A. Происхождение и идентификаторы,"Группа: Уступка; Поля: assignee_name, assignee_bin, assignment_date, assignment_amount, assignment_price, related_contract_refs[]","Группа: Уступка; Поля: assignee_name, assignee_bin, assignment_date, assignment_amount, assignment_price, related_contract_refs[]",,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,A. Происхождение и идентификаторы,SRC-DOC-M03-P-00232,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M03-CAN-0003,m03.current_1_0.product_semantic.937ee833f3bf5853,1.0,CURRENT_1_0,M03,Кредитная история,PRODUCT_SEMANTIC,STATE,B. Классификация,"Группа: Состояние; Поля: phase_raw, phase, source_status_raw, source_classification_raw, closure_kind, dispute_flag","Группа: Состояние; Поля: phase_raw, phase, source_status_raw, source_classification_raw, closure_kind, dispute_flag",,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,B. Классификация,SRC-DOC-M03-P-00237,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M03-CAN-0004,m03.current_1_0.product_semantic.5b801a9529e6c28c,1.0,CURRENT_1_0,M03,Кредитная история,PRODUCT_SEMANTIC,STATE,B. Классификация,"Группа: События; Поля: restructured_flag, refinanced_flag, prolongation_count, assigned_flag, recalled_flag, rehabilitation_status_raw, rehabilitation_date","Группа: События; Поля: restructured_flag, refinanced_flag, prolongation_count, assigned_flag, recalled_flag, rehabilitation_status_raw, rehabilitation_date",,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,B. Классификация,SRC-DOC-M03-P-00238,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M03-CAN-0005,m03.current_1_0.data_contract.527083bb3ab069c2,1.0,CURRENT_1_0,M03,Кредитная история,DATA_CONTRACT,DATA_MODEL,C. Суммы и платежи,"Поле: payment_frequency_raw, payment_frequency; Семантика: monthly/weekly/at_maturity/irregular/unknown","Поле: payment_frequency_raw, payment_frequency; Семантика: monthly/weekly/at_maturity/irregular/unknown",,,,UNKNOWN,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,C. Суммы и платежи,SRC-DOC-M03-P-00255,,,,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M03-CAN-0006,m03.current_1_0.data_contract.258a956d97faabcd,1.0,CURRENT_1_0,M03,Кредитная история,DATA_CONTRACT,DATA_MODEL,C. Суммы и платежи,"Поле: nominal_rate, effective_rate; Семантика: Факты из отчёта; не нужны для current debt total, но хранятся","Поле: nominal_rate, effective_rate; Семантика: Факты из отчёта; не нужны для current debt total, но хранятся",,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,C. Суммы и платежи,SRC-DOC-M03-P-00256,,,,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M03-CAN-0007,m03.current_1_0.product_semantic.b019b4532752eb1b,1.0,CURRENT_1_0,M03,Кредитная история,PRODUCT_SEMANTIC,BUSINESS_RULE,C. Суммы и платежи,"Денежный инвариант: тип decimal(20,2) или более точный по схеме; никаких binary float. Сумма без currency невалидна. Пустая ячейка не превращается в 0.00.","Денежный инвариант: тип decimal(20,2) или более точный по схеме; никаких binary float. Сумма без currency невалидна. Пустая ячейка не превращается в 0.00.",,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,C. Суммы и платежи,SRC-DOC-M03-P-00257,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M03-CAN-0008,m03.current_1_0.data_contract.9e53ff7ccb93d3cd,1.0,CURRENT_1_0,M03,Кредитная история,DATA_CONTRACT,DATA_MODEL,C. Суммы и платежи,Поле: credit_limit; Семантика: Лимит карты/линии; не равен использованной сумме,Поле: credit_limit; Семантика: Лимит карты/линии; не равен использованной сумме,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21|M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,2026-08-21|1.1,C. Суммы и платежи|§10 Кредитные карты,SRC-DOC-M03-P-00243|SRC-DOC-M03-I-00178,,,,DATA|FRONTEND,,,,,Canonicalized from 2 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M03-CAN-0009,m03.current_1_0.data_contract.0e215017cb7da710,1.0,CURRENT_1_0,M03,Кредитная история,DATA_CONTRACT,DATA_MODEL,C. Суммы и платежи,Поле: utilized_amount; Семантика: Использованная сумма карты/линии,Поле: utilized_amount; Семантика: Использованная сумма карты/линии,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21|M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,2026-08-21|1.1,C. Суммы и платежи|§10 Кредитные карты,SRC-DOC-M03-P-00244|SRC-DOC-M03-I-00179,,,,DATA|FRONTEND,,,,,Canonicalized from 2 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M03-CAN-0010,m03.current_1_0.data_contract.ddd08a21483fb662,1.0,CURRENT_1_0,M03,Кредитная история,DATA_CONTRACT,DATA_MODEL,C. Суммы и платежи,Поле: periodic_payment_reported; Семантика: Платёж из ПКО; периодичность хранится отдельно,Поле: periodic_payment_reported; Семантика: Платёж из ПКО; периодичность хранится отдельно,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21|M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,2026-08-21|1.1,C. Суммы и платежи|§10 Кредитные карты,SRC-DOC-M03-P-00253|SRC-DOC-M03-I-00182,,,,DATA|FRONTEND,,,,,Canonicalized from 2 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
