requirement_id,canonical_key,release,applicability,module_id,module_name,requirement_level,category,subsystem,requirement,expected_behavior,forbidden_behavior,input,output,state_or_status,source_documents,source_versions,source_sections,source_extract_ids,acceptance_test_ids,priority,criticality,implementation_layer,dependency,release_gate,open_gate_ids,developer_task_ids,notes
M04-CAN-0001,m04.current_1_0.boundary.2c5b943db745f417,1.0,CURRENT_1_0,M04,Пенсионные отчисления,BOUNDARY,SCOPE,§1 Scope и production-контракт,ENGINE_SCOPE_VERSION = casa.pension_contribution/1.0.0,ENGINE_SCOPE_VERSION = casa.pension_contribution/1.0.0,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,§1 Scope и production-контракт,SRC-DOC-M04-P-00035,,,,PRODUCT,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M04-CAN-0002,m04.current_1_0.product_semantic.9014c4fe025c98a3,1.0,CURRENT_1_0,M04,Пенсионные отчисления,PRODUCT_SEMANTIC,BUSINESS_RULE,§1.1 Что блок делает,"Валидирует файл, субъект, страницы, issuer/template, период, номер, дату получения, штрих-код/подпись и duplicate.","Валидирует файл, субъект, страницы, issuer/template, период, номер, дату получения, штрих-код/подпись и duplicate.",,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,§1.1 Что блок делает,SRC-DOC-M04-P-00038,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M04-CAN-0003,m04.current_1_0.data_contract.e59d997f3ce1b990,1.0,CURRENT_1_0,M04,Пенсионные отчисления,DATA_CONTRACT,PROVENANCE,§1.1 Что блок делает,Сохраняет каждую строку как contribution_record с raw/normalized/presence/confidence/review/evidence.,Сохраняет каждую строку как contribution_record с raw/normalized/presence/confidence/review/evidence.,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,§1.1 Что блок делает,SRC-DOC-M04-P-00039,,,,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M04-CAN-0004,m04.current_1_0.data_contract.fde9695e2d50798e,1.0,CURRENT_1_0,M04,Пенсионные отчисления,DATA_CONTRACT,SNAPSHOT,§1.1 Что блок делает,Публикует immutable pension_contribution_profile_snapshot после закрытия blocking gates.,Публикует immutable pension_contribution_profile_snapshot после закрытия blocking gates.,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,§1.1 Что блок делает,SRC-DOC-M04-P-00042,,,,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M04-CAN-0005,m04.current_1_0.boundary.4399e231c720e096,1.0,CURRENT_1_0,M04,Пенсионные отчисления,BOUNDARY,FUTURE_BOUNDARY,§1.2 Что блок не делает,"не входит в eGov/ЕНПФ за клиента, не хранит ЭЦП, OTP, пароль или токен;","не входит в eGov/ЕНПФ за клиента, не хранит ЭЦП, OTP, пароль или токен;",,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,§1.2 Что блок не делает,SRC-DOC-M04-P-00044,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M04-CAN-0006,m04.current_1_0.product_semantic.acd52f1b10a4f603,1.0,CURRENT_1_0,M04,Пенсионные отчисления,PRODUCT_SEMANTIC,API,§1.2 Что блок не делает,не получает выписку автоматически и не вызывает неподтверждённый государственный API;,не получает выписку автоматически и не вызывает неподтверждённый государственный API;,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,§1.2 Что блок не делает,SRC-DOC-M04-P-00045,,,,BACKEND,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M04-CAN-0007,m04.current_1_0.product_semantic.817f9b4e10f376e8,1.0,CURRENT_1_0,M04,Пенсионные отчисления,PRODUCT_SEMANTIC,BUSINESS_RULE,§1.2 Что блок не делает,не достраивает отсутствующие строки и не заменяет UNKNOWN нулём.,не достраивает отсутствующие строки и не заменяет UNKNOWN нулём.,,,,UNKNOWN,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,§1.2 Что блок не делает,SRC-DOC-M04-P-00048,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M04-CAN-0008,m04.current_1_0.product_semantic.2bf3d73c5d586e89,1.0,CURRENT_1_0,M04,Пенсионные отчисления,PRODUCT_SEMANTIC,FORMULA,§1.3 Несмешиваемые уровни,Уровень: CASA_DERIVED; Владелец: Pension Engine; Пример: 6 positive observed months; one sender; amount median 10 000 ₸; Хранение: formula/version/input IDs/quality/UNKNOWN reasons,Уровень: CASA_DERIVED; Владелец: Pension Engine; Пример: 6 positive observed months; one sender; amount median 10 000 ₸; Хранение: formula/version/input IDs/quality/UNKNOWN reasons,,,,UNKNOWN,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,§1.3 Несмешиваемые уровни,SRC-DOC-M04-P-00052,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M04-CAN-0009,m04.current_1_0.boundary.7cc3e7a184245070,1.0,CURRENT_1_0,M04,Пенсионные отчисления,BOUNDARY,FUTURE_BOUNDARY,§1.3 Несмешиваемые уровни,Уровень: BANK_RULE; Владелец: Future Bank Rules; Пример: Как банк принимает месяцы и доход; Хранение: В этом блоке отсутствует,Уровень: BANK_RULE; Владелец: Future Bank Rules; Пример: Как банк принимает месяцы и доход; Хранение: В этом блоке отсутствует,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,§1.3 Несмешиваемые уровни,SRC-DOC-M04-P-00053,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M04-CAN-0010,m04.current_1_0.product_semantic.dd911001a7dc4a77,1.0,CURRENT_1_0,M04,Пенсионные отчисления,PRODUCT_SEMANTIC,FORMULA,§1.3 Несмешиваемые уровни,"Инвариант
CASA_DERIVED всегда ссылается на source_record_ids и formula_version. Любая коррекция факта инвалидирует downstream metrics и создаёт новый snapshot; старый snapshot остаётся воспроизводимым.: Инвариант
CASA_DERIVED всегда ссылается на source_record_ids и formula_version. Любая коррекция факта инвалидирует downstream metrics и создаёт новый snapshot; старый snapshot остаётся воспроизводимым.","Инвариант
CASA_DERIVED всегда ссылается на source_record_ids и formula_version. Любая коррекция факта инвалидирует downstream metrics и создаёт новый snapshot; старый snapshot остаётся воспроизводимым.: Инвариант
CASA_DERIVED всегда ссылается на source_record_ids и formula_version. Любая коррекция факта инвалидирует downstream metrics и создаёт новый snapshot; старый snapshot остаётся воспроизводимым.",,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,§1.3 Несмешиваемые уровни,SRC-DOC-M04-P-00054,,,,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
