requirement_id,canonical_key,release,applicability,module_id,module_name,requirement_level,category,subsystem,requirement,expected_behavior,forbidden_behavior,input,output,state_or_status,source_documents,source_versions,source_sections,source_extract_ids,acceptance_test_ids,priority,criticality,implementation_layer,dependency,release_gate,open_gate_ids,developer_task_ids,notes
M01-CAN-0001,m01.current_1_0.product_semantic.a309a5a4a017726c,1.0,CURRENT_1_0,M01,Клиент и согласие,PRODUCT_SEMANTIC,STATE,A. Клиент,Элемент: Идентичность; Показывать: ФИО + masked ИИН/идентификатор + identity version/status.,Элемент: Идентичность; Показывать: ФИО + masked ИИН/идентификатор + identity version/status.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,1.1,A. Клиент,SRC-DOC-M01-I-00207,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M01-CAN-0002,m01.current_1_0.product_semantic.b345f8c1a50ff562,1.0,CURRENT_1_0,M01,Клиент и согласие,PRODUCT_SEMANTIC,STATE,A. Клиент,"Элемент: Case; Показывать: Короткий case reference/status; смена клиента — навигация, не перепривязка текущих данных.","Элемент: Case; Показывать: Короткий case reference/status; смена клиента — навигация, не перепривязка текущих данных.",,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,1.1,A. Клиент,SRC-DOC-M01-I-00209,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M01-CAN-0003,m01.current_1_0.data_contract.6b35dea5d5081816,1.0,CURRENT_1_0,M01,Клиент и согласие,DATA_CONTRACT,DATA_MODEL,A. Клиент,Элемент: Редактирование; Показывать: CTA только для разрешённых полей; critical identifier correction создаёт новую identity version.,Элемент: Редактирование; Показывать: CTA только для разрешённых полей; critical identifier correction создаёт новую identity version.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,1.1,A. Клиент,SRC-DOC-M01-I-00210,,,CRITICAL,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M01-CAN-0004,m01.current_1_0.security_control.a914c6006932f465,1.0,CURRENT_1_0,M01,Клиент и согласие,SECURITY_CONTROL,CONSENT,B. Согласие,Блок: Версия и время; Показывать: consent text version; confirmed_at; renewal reason/expiry only if approved policy.,Блок: Версия и время; Показывать: consent text version; confirmed_at; renewal reason/expiry only if approved policy.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,1.1,B. Согласие,SRC-DOC-M01-I-00215,,,,LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M01-CAN-0005,m01.current_1_0.security_control.c4ae87bdbd996e64,1.0,CURRENT_1_0,M01,Клиент и согласие,SECURITY_CONTROL,CONSENT,B. Согласие,Блок: Evidence; Показывать: Подтверждено / не доказано + допустимая ссылка на детали; raw evidence скрыт.,Блок: Evidence; Показывать: Подтверждено / не доказано + допустимая ссылка на детали; raw evidence скрыт.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,1.1,B. Согласие,SRC-DOC-M01-I-00216,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M01-CAN-0006,m01.current_1_0.security_control.d278fcd755ee9c79,1.0,CURRENT_1_0,M01,Клиент и согласие,SECURITY_CONTROL,CONSENT,B. Согласие,Блок: CTA; Показывать: Запросить / повторить / отозвать / получить новую версию — только разрешённое текущим state и permissions.,Блок: CTA; Показывать: Запросить / повторить / отозвать / получить новую версию — только разрешённое текущим state и permissions.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,1.1,B. Согласие,SRC-DOC-M01-I-00217,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M01-CAN-0007,m01.current_1_0.security_control.ef38216e39ca373f,1.0,CURRENT_1_0,M01,Клиент и согласие,SECURITY_CONTROL,CONSENT,B. Согласие,Блок: Предупреждение; Показывать: Текущий consent не предоставляет CASA direct bureau/ENPF access и не разрешает credentials.,Блок: Предупреждение; Показывать: Текущий consent не предоставляет CASA direct bureau/ENPF access и не разрешает credentials.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,1.1,B. Согласие,SRC-DOC-M01-I-00218,,,,LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M01-CAN-0008,m01.current_1_0.security_control.fb3d03721b749e83,1.0,CURRENT_1_0,M01,Клиент и согласие,SECURITY_CONTROL,CONSENT,C. Дополнительные участники,"Для каждого: ФИО/маска, роль, included_in_analysis, identity status, consent status и один разрешённый CTA. Данные/согласия участников не объединяются.","Для каждого: ФИО/маска, роль, included_in_analysis, identity status, consent status и один разрешённый CTA. Данные/согласия участников не объединяются.",,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,1.1,C. Дополнительные участники,SRC-DOC-M01-I-00220,,,,LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M01-CAN-0009,m01.current_1_0.security_control.b3c9523b65da8a1a,1.0,CURRENT_1_0,M01,Клиент и согласие,SECURITY_CONTROL,SECURITY,Consent preflight,"Вход: tenant/case/participant/identity_version + action/purpose + caller context. Выход: allow=false/true, matched consent_id/text_version/evidence_ref, authorization/audit refs и safe deny reason. Full ИИН не передаётся.","Вход: tenant/case/participant/identity_version + action/purpose + caller context. Выход: allow=false/true, matched consent_id/text_version/evidence_ref, authorization/audit refs и safe deny reason. Full ИИН не передаётся.",,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,1.1,Consent preflight,SRC-DOC-M01-I-00249,,,,SECURITY|LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M01-CAN-0010,m01.current_1_0.implementation_detail.38d9cbe0955a4506,1.0,CURRENT_1_0,M01,Клиент и согласие,IMPLEMENTATION_DETAIL,API,Consent preflight,API surface: POST /api/v2/cases; Контракт: Idempotent case create; tenant ownership + audit.,API surface: POST /api/v2/cases; Контракт: Idempotent case create; tenant ownership + audit.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,1.1,Consent preflight,SRC-DOC-M01-I-00251,,,,BACKEND|SECURITY,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
