requirement_id,canonical_key,release,applicability,module_id,module_name,requirement_level,category,subsystem,requirement,expected_behavior,forbidden_behavior,input,output,state_or_status,source_documents,source_versions,source_sections,source_extract_ids,acceptance_test_ids,priority,criticality,implementation_layer,dependency,release_gate,open_gate_ids,developer_task_ids,notes
M06-CAN-0001,m06.current_1_0.product_semantic.ce995c2c1db1860d,1.0,CURRENT_1_0,M06,Расчётный движок,PRODUCT_SEMANTIC,FORMULA,CALC-F-001 — Требуемая сумма финансирования,Элемент: A_now; Contract: client_profile_snapshot::metric(available_now_total); only usable monetary sources. Future/restricted/unavailable/additional collateral уже исключены M05.,Элемент: A_now; Contract: client_profile_snapshot::metric(available_now_total); only usable monetary sources. Future/restricted/unavailable/additional collateral уже исключены M05.,,,,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,1.4,CALC-F-001 — Требуемая сумма финансирования,SRC-DOC-M06-P-00127,,,,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M06-CAN-0002,m06.current_1_0.product_semantic.06cf1f4fe90fff22,1.0,CURRENT_1_0,M06,Расчётный движок,PRODUCT_SEMANTIC,FORMULA,CALC-F-001 — Требуемая сумма финансирования,Элемент: Output; Contract: calculation_run.results[casa.required_financing/1.0.0].value; Money KZT.,Элемент: Output; Contract: calculation_run.results[casa.required_financing/1.0.0].value; Money KZT.,,,,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,1.4,CALC-F-001 — Требуемая сумма финансирования,SRC-DOC-M06-P-00128,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M06-CAN-0003,m06.current_1_0.product_semantic.3a10ee1bcef6bd41,1.0,CURRENT_1_0,M06,Расчётный движок,PRODUCT_SEMANTIC,STATE,CALC-F-001 — Требуемая сумма финансирования,"Элемент: Preconditions; Contract: Оба значения присутствуют, неотрицательны, одна валюта KZT, состояния не UNKNOWN/BLANK/STALE/CONFLICT/BLOCKED.","Элемент: Preconditions; Contract: Оба значения присутствуют, неотрицательны, одна валюта KZT, состояния не UNKNOWN/BLANK/STALE/CONFLICT/BLOCKED.",,,,UNKNOWN|BLANK|STALE|CONFLICT|BLOCKED,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,1.4,CALC-F-001 — Требуемая сумма финансирования,SRC-DOC-M06-P-00129,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M06-CAN-0004,m06.current_1_0.product_semantic.ac0b0ce3f951c718,1.0,CURRENT_1_0,M06,Расчётный движок,PRODUCT_SEMANTIC,FORMULA,CALC-F-001 — Требуемая сумма финансирования,"Элемент: Boundary; Contract: Если A_now ≥ P, F=0. Это означает «по указанным суммам финансирование не требуется», а не одобрение/избыток банка.","Элемент: Boundary; Contract: Если A_now ≥ P, F=0. Это означает «по указанным суммам финансирование не требуется», а не одобрение/избыток банка.",,,,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,1.4,CALC-F-001 — Требуемая сумма финансирования,SRC-DOC-M06-P-00130,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M06-CAN-0005,m06.current_1_0.product_semantic.804802e98a44a678,1.0,CURRENT_1_0,M06,Расчётный движок,PRODUCT_SEMANTIC,STATE,CALC-F-001 — Требуемая сумма финансирования,Элемент: Quality; Contract: DECLARED/EVIDENCE_REQUESTED numeric input допускает число только со status=COMPLETED_WITH_LIMITATIONS; вход не становится VERIFIED.,Элемент: Quality; Contract: DECLARED/EVIDENCE_REQUESTED numeric input допускает число только со status=COMPLETED_WITH_LIMITATIONS; вход не становится VERIFIED.,,,,DECLARED|VERIFIED,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,1.4,CALC-F-001 — Требуемая сумма финансирования,SRC-DOC-M06-P-00131,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M06-CAN-0006,m06.current_1_0.product_semantic.ffea55d922263154,1.0,CURRENT_1_0,M06,Расчётный движок,PRODUCT_SEMANTIC,FORMULA,CALC-F-001 — Требуемая сумма финансирования,"НЕ СМЕШИВАТЬ  additional_collateral не деньги; future_available_total не A_now; UNKNOWN не 0; output — required financing amount, не bank approved loan amount.: НЕ СМЕШИВАТЬ  additional_collateral не деньги; future_available_total не A_now; UNKNOWN не 0; output — required financing amount, не bank approved loan amount.","НЕ СМЕШИВАТЬ  additional_collateral не деньги; future_available_total не A_now; UNKNOWN не 0; output — required financing amount, не bank approved loan amount.: НЕ СМЕШИВАТЬ  additional_collateral не деньги; future_available_total не A_now; UNKNOWN не 0; output — required financing amount, не bank approved loan amount.",,,,UNKNOWN,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,1.4,CALC-F-001 — Требуемая сумма финансирования,SRC-DOC-M06-P-00132,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M06-CAN-0007,m06.current_1_0.product_semantic.462639d98f920cb0,1.0,CURRENT_1_0,M06,Расчётный движок,PRODUCT_SEMANTIC,FORMULA,CALC-F-001 — Требуемая сумма финансирования,Элемент: P; Contract: target_price = client_profile_snapshot.purchase_goal.target_price_max; Money KZT; не valuation и не budget bank limit.,Элемент: P; Contract: target_price = client_profile_snapshot.purchase_goal.target_price_max; Money KZT; не valuation и не budget bank limit.,,,,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4|M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,1.4|1.1,CALC-F-001 — Требуемая сумма финансирования|§7 CALC-F-001 — требуемое финансирование,SRC-DOC-M06-P-00126|SRC-DOC-M06-I-00088,,,,DATA,,,,,Canonicalized from 2 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M06-CAN-0008,m06.current_1_0.product_semantic.879299b724d6155a,1.0,CURRENT_1_0,M06,Расчётный движок,PRODUCT_SEMANTIC,FORMULA,CALC-F-002 — Ежемесячный платёж по заданным параметрам,"Поддерживается только monthly annuity primitive. annual_nominal_rate_percent — номинальная годовая ставка-параметр, а не ГЭСВ, не ставка банка и не условие программы. Комиссии, страховки, иные платежи, grace, mixed/differentiated schedules отсутствуют.","Поддерживается только monthly annuity primitive. annual_nominal_rate_percent — номинальная годовая ставка-параметр, а не ГЭСВ, не ставка банка и не условие программы. Комиссии, страховки, иные платежи, grace, mixed/differentiated schedules отсутствуют.",,,,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,1.4,CALC-F-002 — Ежемесячный платёж по заданным параметрам,SRC-DOC-M06-P-00135,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M06-CAN-0009,m06.current_1_0.product_semantic.fef14a93b94e23ce,1.0,CURRENT_1_0,M06,Расчётный движок,PRODUCT_SEMANTIC,BUSINESS_RULE,Replay hash methodology CASA-CJ-1,engine re-execution must reproduce all three hashes exactly.,engine re-execution must reproduce all three hashes exactly.,,,,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,1.4,Replay hash methodology CASA-CJ-1,SRC-DOC-M06-P-00390,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M06-CAN-0010,m06.current_1_0.product_semantic.2fa66305c798ce80,1.0,CURRENT_1_0,M06,Расчётный движок,PRODUCT_SEMANTIC,BUSINESS_RULE,Replay hash methodology CASA-CJ-1,Hash: input_hash; Expected lowercase hex: cb88c168e277aeae3d28d91f46643999fad2f6284b9a31c555f3e3665953fb47,Hash: input_hash; Expected lowercase hex: cb88c168e277aeae3d28d91f46643999fad2f6284b9a31c555f3e3665953fb47,,,,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,1.4,Replay hash methodology CASA-CJ-1,SRC-DOC-M06-P-00392,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
